isic_rev4_4dig;isic_rev4_secdig;isic_rev2_4dig;isic_rev2_secdig
6611;"K";8103;
6612;"K";8103;
6619;"K";8103;
7740;"N";8103;
9499;"S";8103;
6511;"K";8200;
6512;"K";8200;
6520;"K";8200;
6530;"K";8200;
6621;"K";8200;
6622;"K";8200;
6629;"K";8200;
6630;"K";8200;
4100;"F";8310;
4210;"F";8310;
4220;"F";8310;
4290;"F";8310;
4390;"F";8310;
6810;"L";8310;
6820;"L";8310;
8110;"N";8310;
6910;"M";8321;
6920;"M";8322;
5811;"J";8323;
5812;"J";8323;
5813;"J";8323;
5819;"J";8323;
5820;"J";8323;
5920;"J";8323;
6010;"J";8323;
6020;"J";8323;
6201;"J";8323;
6202;"J";8323;
6209;"J";8323;
6311;"J";8323;
6312;"J";8323;
910;"B";8324;
990;"B";8324;
7110;"M";8324;
7120;"M";8324;
7210;"M";8324;
7220;"M";8324;
7410;"M";8324;
7490;"M";8324;
6399;"J";8325;
7310;"M";8325;
7320;"M";8325;
7410;"M";8325;
7490;"M";8325;
8211;"N";8325;
8219;"N";8325;
8220;"N";8325;
8230;"N";8325;
8291;"N";8325;
8299;"N";8325;
8550;"P";8325;
161;"A";8329;
162;"A";8329;
163;"A";8329;
164;"A";8329;
6391;"J";8329;
6399;"J";8329;
7010;"M";8329;
7020;"M";8329;
7220;"M";8329;
7310;"M";8329;
7410;"M";8329;
7420;"M";8329;
7490;"M";8329;
7810;"N";8329;
7820;"N";8329;
7830;"N";8329;
8010;"N";8329;
8020;"N";8329;
8030;"N";8329;
8130;"N";8329;
8211;"N";8329;
8219;"N";8329;
8220;"N";8329;
8230;"N";8329;
8291;"N";8329;
8292;"N";8329;
8299;"N";8329;
8541;"P";8329;
8550;"P";8329;
9000;"R";8329;
9609;"S";8329;
7721;"N";8330;
7722;"N";8330;
7729;"N";8330;
7730;"N";8330;
6810;"L";9100;
6820;"L";9100;
7120;"M";9100;
7990;"N";9100;
8411;"O";9100;
8412;"O";9100;
8413;"O";9100;
8421;"O";9100;
8422;"O";9100;
8423;"O";9100;
8430;"O";9100;
8890;"Q";9100;
9101;"R";9100;
3700;"E";9200;
3811;"E";9200;
3812;"E";9200;
3821;"E";9200;
3822;"E";9200;
3900;"E";9200;
8121;"N";9200;
8129;"N";9200;
8130;"N";9200;
7990;"N";9310;
8510;"P";9310;
8521;"P";9310;
8522;"P";9310;
8530;"P";9310;
8542;"P";9310;
8549;"P";9310;
8550;"P";9310;
8810;"Q";9310;
8890;"Q";9310;
9000;"R";9310;
9321;"R";9310;
9329;"R";9310;
7210;"M";9320;
7220;"M";9320;
2660;"C";9331;
3250;"C";9331;
3290;"C";9331;
3313;"C";9331;
3319;"C";9331;
3320;"C";9331;
8610;"Q";9331;
8620;"Q";9331;
8690;"Q";9331;
8710;"Q";9331;
8720;"Q";9331;
8730;"Q";9331;
161;"A";9332;
162;"A";9332;
163;"A";9332;
164;"A";9332;
7500;"M";9332;
8130;"N";9332;
8541;"P";9332;
9609;"S";9332;
